No	Unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	備考
1	L4	4-1-1	happily	adv	幸せな気持ちで	幸せに	幸運にも	happyの副詞形
2	L4	4-1-3	following	adj	翌…	次の	以下の	-
3	L4	4-1-3	office	n	本社	事務所	職場	文脈では「本社」
4	L4	4-1-4	spent	v	過ごした	(時間・金)を費やす	-	spendの過去・過去分詞形
5	L4	4-1-4	designing	v	設計すること	設計する	デザインする	designの現在分詞・動名詞
6	L4	4-2-1	assignment	n	任務	課題、割り当て	-	-
7	L4	4-2-1	realized	v	気づいた	〜を悟る、実現する	-	realizeの過去形
8	L4	4-2-1	forgotten	v	忘れてきた	忘れる	-	forgetの過去分詞形
9	L4	4-2-1	seal	n	印鑑	封、アザラシ	-	-
10	L4	4-2-1	stamping	v	押印するための	スタンプを押す	足を踏み鳴らす	stampの現在分詞・動名詞
11	L4	4-2-1	documents	n	書類	文書	-	-
12	L4	4-2-2	returned	v	戻った	戻る、返す	-	returnの過去形
13	L4	4-3-1	bomber	n	爆撃機	-	-	-
14	L4	4-3-1	parachutes	n	パラシュート	-	-	-
15	L4	4-3-2	suddenly	adv	突然	-	-	-
16	L4	4-3-2	terrible	adj	恐ろしい	ひどい	-	-
17	L4	4-3-2	unconscious	adj	意識を失って	無意識の	-	-
18	L4	4-4-1	atomic	adj	原子の	原子力の	-	-
19	L4	4-4-3	lay	v	横たわっていた	横たわる	置く、産む(lay-laid-laid)	lie(横たわる)の過去形
20	L4	4-4-3	dazed	adj	呆然として	ぼうっとした	-	-
21	L4	4-4-4	recovered	v	意識を取り戻した	回復する	取り戻す	recoverの過去形
22	L4	4-5-1	mushroom cloud	n	きのこ雲	-	-	-
23	L4	4-5-1	soaring	v	舞い上がっている	急上昇する	-	soarの現在分詞
24	L4	4-5-4	destroyed	v	破壊されて	破壊する	-	destroyの過去分詞形
25	L4	4-6-1	decided	v	決めた	決める	-	decideの過去形
26	L4	4-6-1	colleagues	n	同僚	-	-	-
27	L4	4-6-2	damaged	adj	壊れた	損害を受けた	-	damageの過去分詞
28	L4	4-6-2	survivors	n	生存者たち	生き残った人	-	-
29	L4	4-7-1	shelter	n	防空壕	避難所	-	-
30	L4	4-7-2	managed	v	なんとか〜した	なんとかやり遂げる	管理する	manageの過去形
31	L4	4-7-2	treatment	n	治療	扱い	-	-
32	L4	4-7-2	burns	n	火傷	-	-	-
33	L4	4-8-2	heavily	adv	ひどく	重く	激しく	-
34	L4	4-8-2	bandaged	v	包帯を巻かれていた	包帯を巻く	-	bandageの過去分詞形
35	L4	4-8-3	stunned	adj	唖然として	気絶した、呆然とした	-	-
36	L4	4-8-4	totally	adv	完全に	全く	-	-
37	L4	4-8-4	absolutely	adv	絶対に	完全に、全く	-	-
38	L4	4-8-4	impossible	adj	ありえない	不可能な	-	-
39	L4	4-9-1	flash	n	閃光	ひらめき	-	-
40	L4	4-9-2	alive	adj	生きて	生きている	-	-
41	L4	4-9-2	face	v	直面する	顔	〜に面する	-
42	L4	4-9-2	fate	n	運命	宿命	-	-
43	L4	4-10-1	survived	v	生き延びた	〜を生き延びる、〜より長生きする	-	surviveの過去形
44	L4	4-10-1	suffered	v	苦しんだ	苦しむ、(病気などを)患う	-	sufferの過去形
45	L4	4-10-1	physically	adv	肉体的に	物理的に	-	-
46	L4	4-10-1	mentally	adv	精神的に	-	-	-
47	L4	4-10-2	after-effects	n	後遺症	(薬などの)副作用、余波	-	-
48	L4	4-10-3	eventually	adv	やがて	最終的に	-	-
49	L4	4-10-3	destiny	n	宿命	運命	-	-
50	L4	4-10-3	duty	n	義務	任務、関税	-	-
51	L4	4-10-3	painful	adj	つらい	痛い	-	-
52	L4	4-10-3	public	n	公	公衆、大衆	-	in public (公の場で)
53	L4	4-10-5	appeared	v	出演した	現れる、〜のように見える	-	appearの過去形
54	L4	4-10-6	speech	n	スピーチ	演説、話すこと	-	-
55	L4	4-10-7	sincerely	adv	心から	誠実に	-	-
56	L4	4-11-1	promised	v	約束した	約束する	-	promiseの過去形
57	L4	4-11-1	peace	n	平和	平穏	-	-
58	L4	4-11-1	nuclear arms	n	核兵器	-	-	-
59	L4	4-11-2	moved	v	感動させられた	動かす、感動させる	-	moveの過去分詞形
60	L4	4-11-3	rest	n	残り	休息	-	the rest of ... (...の残り)
61	L4	4-11-3	telling	v	伝えること	言う、話す、教える	-	tellの現在分詞・動名詞
62	L4	4-12-1	once	adv	かつて	一度	-	-
63	L4	4-12-2	pause	n	一呼吸	休止	-	-
64	L4	4-12-3	human beings	n	人間	-	-	-
65	L4	4-12-5	passed away	v	亡くなった	亡くなる (dieの婉曲表現)	-	pass awayの過去形
66	L4	4-12-5	quietly	adv	静かに	-	-	-
67	L4	4-12-6	remains	v	生き続けている	残る、〜のままである	-	remainの三人称単数現在形